IDHM - Índice de Desenvolvimento Humano Municipal
Sigla,Código,Município,2000,2010,
AC,1200013,Acrelândia,0.451,0.604,
AC,1200054,Assis Brasil,0.425,0.588,
AC,1200104,Brasiléia,0.476,0.614,
AC,1200138,Bujari,0.46,0.589,
AC,1200179,Capixaba,0.365,0.575,
AC,1200203,Cruzeiro do Sul,0.51,0.664,
AC,1200252,Epitaciolândia,0.474,0.653,
AC,1200302,Feijó,0.323,0.539,
AC,1200328,Jordão,0.222,0.469,
AC,1200336,Mâncio Lima,0.456,0.625,
AC,1200344,Manoel Urbano,0.395,0.551,
AC,1200351,Marechal Thaumaturgo,0.301,0.501,
AC,1200385,Plácido de Castro,0.464,0.622,
AC,1200393,Porto Walter,0.342,0.532,
AC,1200401,Rio Branco,0.591,0.727,
AC,1200427,Rodrigues Alves,0.399,0.567,
AC,1200435,Santa Rosa do Purus,0.277,0.517,
AC,1200450,Senador Guiomard,0.488,0.64,
AC,1200500,Sena Madureira,0.451,0.603,
AC,1200609,Tarauacá,0.386,0.539,
AC,1200708,Xapuri,0.445,0.599,
AC,1200807,Porto Acre,0.443,0.576,
AM,1300029,Alvarães,0.373,0.527,
AM,1300060,Amaturá,0.413,0.56,
AM,1300086,Anamã,0.408,0.594,
AM,1300102,Anori,0.428,0.561,
AM,1300144,Apuí,0.437,0.637,
AM,1300201,Atalaia do Norte,0.348,0.45,
AM,1300300,Autazes,0.42,0.577,
AM,1300409,Barcelos,0.384,0.5,
AM,1300508,Barreirinha,0.399,0.574,
AM,1300607,Benjamin Constant,0.389,0.574,
AM,1300631,Beruri,0.34,0.506,
AM,1300680,Boa Vista do Ramos,0.372,0.565,
AM,1300706,Boca do Acre,0.401,0.588,
AM,1300805,Borba,0.389,0.56,
AM,1300839,Caapiranga,0.403,0.569,
AM,1300904,Canutama,0.38,0.53,
AM,1301001,Carauari,0.344,0.549,
AM,1301100,Careiro,0.337,0.557,
AM,1301159,Careiro da Várzea,0.387,0.568,
AM,1301209,Coari,0.389,0.586,
AM,1301308,Codajás,0.44,0.563,
AM,1301407,Eirunepé,0.409,0.563,
AM,1301506,Envira,0.346,0.509,
AM,1301605,Fonte Boa,0.32,0.53,
AM,1301654,Guajará,0.381,0.532,
AM,1301704,Humaitá,0.475,0.605,
AM,1301803,Ipixuna,0.318,0.481,
AM,1301852,Iranduba,0.437,0.613,
AM,1301902,Itacoatiara,0.491,0.644,
AM,1301951,Itamarati,0.331,0.477,
AM,1302009,Itapiranga,0.478,0.654,
AM,1302108,Japurá,0.304,0.522,
AM,1302207,Juruá,0.362,0.522,
AM,1302306,Jutaí,0.304,0.516,
AM,1302405,Lábrea,0.386,0.531,
AM,1302504,Manacapuru,0.437,0.614,
AM,1302553,Manaquiri,0.429,0.596,
AM,1302603,Manaus,0.601,0.737,
AM,1302702,Manicoré,0.398,0.582,
AM,1302801,Maraã,0.291,0.498,
AM,1302900,Maués,0.454,0.588,
AM,1303007,Nhamundá,0.441,0.586,
AM,1303106,Nova Olinda do Norte,0.373,0.558,
AM,1303205,Novo Airão,0.428,0.57,
AM,1303304,Novo Aripuanã,0.387,0.554,
AM,1303403,Parintins,0.488,0.658,
AM,1303502,Pauini,0.287,0.496,
AM,1303536,Presidente Figueiredo,0.537,0.647,
AM,1303569,Rio Preto da Eva,0.434,0.611,
AM,1303601,Santa Isabel do Rio Negro,0.384,0.479,
AM,1303700,Santo Antônio do Içá,0.306,0.49,
AM,1303809,São Gabriel da Cachoeira,0.478,0.609,
AM,1303908,São Paulo de Olivença,0.324,0.521,
AM,1303957,São Sebastião do Uatumã,0.428,0.577,
AM,1304005,Silves,0.486,0.632,
AM,1304062,Tabatinga,0.47,0.616,
AM,1304104,Tapauá,0.293,0.502,
AM,1304203,Tefé,0.438,0.639,
AM,1304237,Tonantins,0.327,0.548,
