UF,ano,populacao,area_desmatada,IDH,pib_mil_reais,pib_bilhoes
AC,2017,829619.0,245.88760142074145,0.712,14272939.0,14.27
AC,2018,869265.0,426.7192525740764,0.733,15331124.0,15.33
AC,2019,881935.0,706.9390863272491,0.739,15630018.0,15.63
AC,2020,894470.0,660.8191161759721,0.746,16476370.0,16.48
AC,2021,906876.0,892.6109731432017,0.71,21374442.0,21.37
AM,2017,4063614.0,1009.9597752379856,0.728,93240190.0,93.24
AM,2018,4080611.0,1051.2432341121364,0.718,100109232.0,100.11
AM,2019,4144597.0,1556.8914681750362,0.726,108181093.0,108.18
AM,2020,4207714.0,1420.4088669432008,0.727,116019141.0,116.02
AM,2021,4269995.0,2167.098538087675,0.7,131531039.0,131.53
AP,2017,797722.0,17.2683020287453,0.732,15481909.0,15.48
AP,2018,829494.0,24.56686850837879,0.741,16795207.0,16.8
AP,2019,845731.0,39.06157492050759,0.737,17496662.0,17.5
AP,2020,861773.0,10.344819847673968,0.724,18469113.0,18.47
AP,2021,877613.0,16.089384739468322,0.688,20099850.0,20.1
MA,2017,7000229.0,272.9848446711138,0.685,89542756.0,89.54
MA,2018,7035055.0,183.25254236614356,0.686,98179501.0,98.18
MA,2019,7075181.0,272.67975878567034,0.694,97339951.0,97.34
MA,2020,7114598.0,315.69791612014285,0.699,106915959.0,106.92
MA,2021,7153262.0,318.4825212857478,0.676,124980727.0,124.98
MT,2017,3344544.0,1453.8029298276056,0.77,126845895.0,126.85
MT,2018,3441998.0,1435.8513536040248,0.778,137442863.0,137.44
MT,2019,3484466.0,1881.643871970076,0.779,142122023.0,142.12
MT,2020,3526220.0,1819.060055670152,0.756,178649564.0,178.65
MT,2021,3567234.0,1972.0187688402696,0.736,233390206.0,233.39
PA,2017,8366628.0,2572.9244021535187,0.694,155232405.0,155.23
PA,2018,8513497.0,2609.132631105771,0.707,161349601.0,161.35
PA,2019,8602865.0,4465.887178360003,0.704,178376983.0,178.38
PA,2020,8690745.0,4619.276409634441,0.719,215935606.0,215.94
PA,2021,8777124.0,5085.511560302202,0.69,262904976.0,262.9
RO,2017,1805788.0,1277.872759814769,0.721,43516144.0,43.52
RO,2018,1757589.0,1211.7433024576676,0.73,44913978.0,44.91
RO,2019,1777225.0,1401.059495202964,0.73,47091334.0,47.09
RO,2020,1796460.0,1307.2361217647504,0.739,51598745.0,51.6
RO,2021,1815278.0,1648.0452558835473,0.7,58170098.0,58.17
RR,2017,522636.0,121.8815765698708,0.746,12104706.0,12.1
RR,2018,576568.0,126.64818891706932,0.76,13369988.0,13.37
RR,2019,605761.0,543.4634395070918,0.749,14292227.0,14.29
RR,2020,631181.0,321.6186670373609,0.739,16024274.0,16.02
RR,2021,652713.0,283.6909598763855,0.699,18202580.0,18.2
TO,2017,1550194.0,28.15613080953856,0.74,34108132.0,34.11
TO,2018,1555229.0,22.7846676493304,0.749,35666181.0,35.67
TO,2019,1572866.0,28.140260944978916,0.751,39355940.0,39.36
TO,2020,1590248.0,25.13896131218078,0.755,43649801.0,43.65
TO,2021,1607363.0,32.14745190822136,0.731,51780763.0,51.78
