UF,pib_mil_reais,pib_bilhoes
AC,21374442.0,21.37
AL,76265620.0,76.27
AM,131531039.0,131.53
AP,20099850.0,20.1
BA,352617846.0,352.62
CE,194884807.0,194.88
DF,286943782.0,286.94
ES,186336503.0,186.34
GO,269627879.0,269.63
MA,124980727.0,124.98
MG,857593211.0,857.59
MS,142203764.0,142.2
MT,233390206.0,233.39
PA,262904976.0,262.9
PB,77470329.0,77.47
PE,220813521.0,220.81
PI,64028312.0,64.03
PR,549973060.0,549.97
RJ,949300764.0,949.3
RN,80180735.0,80.18
RO,58170098.0,58.17
RR,18202580.0,18.2
RS,581283683.0,581.28
SC,428570883.0,428.57
SE,51861396.0,51.86
SP,2719751234.0,2719.75
TO,51780763.0,51.78
