UF,ano,pib_mil_reais,pib_bilhoes
AC,2017,14272939.0,14.27
AM,2017,93240190.0,93.24
AP,2017,15481909.0,15.48
MA,2017,89542756.0,89.54
MT,2017,126845895.0,126.85
PA,2017,155232405.0,155.23
RO,2017,43516144.0,43.52
RR,2017,12104706.0,12.1
TO,2017,34108132.0,34.11
AC,2018,15331124.0,15.33
AM,2018,100109232.0,100.11
AP,2018,16795207.0,16.8
MA,2018,98179501.0,98.18
MT,2018,137442863.0,137.44
PA,2018,161349601.0,161.35
RO,2018,44913978.0,44.91
RR,2018,13369988.0,13.37
TO,2018,35666181.0,35.67
AC,2019,15630018.0,15.63
AM,2019,108181093.0,108.18
AP,2019,17496662.0,17.5
MA,2019,97339951.0,97.34
MT,2019,142122023.0,142.12
PA,2019,178376983.0,178.38
RO,2019,47091334.0,47.09
RR,2019,14292227.0,14.29
TO,2019,39355940.0,39.36
AC,2020,16476370.0,16.48
AM,2020,116019141.0,116.02
AP,2020,18469113.0,18.47
MA,2020,106915959.0,106.92
MT,2020,178649564.0,178.65
PA,2020,215935606.0,215.94
RO,2020,51598745.0,51.6
RR,2020,16024274.0,16.02
TO,2020,43649801.0,43.65
AC,2021,21374442.0,21.37
AM,2021,131531039.0,131.53
AP,2021,20099850.0,20.1
MA,2021,124980727.0,124.98
MT,2021,233390206.0,233.39
PA,2021,262904976.0,262.9
RO,2021,58170098.0,58.17
RR,2021,18202580.0,18.2
TO,2021,51780763.0,51.78
